section_n | image_split_name | ocr | tok
2 | 0000.png | jana | iana, iano, ijano, jana, jane, jano
2 | 0001.png | 15m | 15m, 45m
2 | 0002.png | cll | cll, olle, sera, serra
2 | 0003.png | i | 132, i, i2, j, jz, l, z
2 | 0004.png | viadonal | viadonae, viadonal, viadonar, wbobtegviadonae, weatbffotviadonae
2 | 0005.png | bertc | bertc, berto
2 | 0006.png | mei | altra ulumappale192, altraulu44ar8ppitinaie192, altraulumappale192, altraulumappale197, altraulumnappale192, altrautumappale192, mei, meli, mici, ulumappale192
2 | 0007.png | areadi | area, area di, areadi, di, hyareadi, tlareadi
2 | 0008.png | propnetas | di, di opnieta, di opnietal, eta, ildi, ildi opn eta, opn, opnieta, opnietal, ppropn, ppropn eta, propnetas, proprieta
2 | 0009.png | adis | adis, dis
2 | 0010.png | 3gnos | 3gnos, d3gnos, dagncs, dagnes
2 | 0011.png | cucinam | 2ucinar, 2ucirirzieiner, cina, cucina, cucinam, ucina
2 | 0012.png | j | ae, j, lf
2 | 0013.png | altrauiu | 1altraulum, altrauiu, altraunua, altrauum, caltra, caltra ul, caltrauiua, h, h ialtrauluz, ialtrauluz, ul
2 | 0014.png | sala | fitsale, sala, sale, wasale
2 | 0015.png | trai i | 1, 51altratu, altraae, altraae st, anappalaltrae5t, i, mappa, mappa unaaltra, mappale, mappale 51altratu, miti, miti 1, mmappale, mmappale 51altratu, st, trai, trai i, unaaltra
2 | 0016.png | og | 93, altrauiusnappale193, altraulu, altrauluanappale193, altraulusnappale193, elos, eta, eta 93, mec, mi, mmappale193, og
2 | 0017.png | scala | fidinoscala, scala, vanoscala
2 | 0018.png | vii | ans, i, iz, vii, want
2 | 0019.png | da | da, pa, us
2 | 0020.png | a | a, i, ra
2 | 0021.png | oorticos | goorticos, oorticos, portico
2 | 0022.png | a | a
2 | 0023.png | areadi | area, area di, areadi, di
2 | 0024.png | ppropneta | bropnetan, ppropneta, propneta
2 | 0025.png | dia | da, dia
2 | 0026.png | pia | dia, pa, pia
2 | 0027.png | ab | ab, at, se, uh
2 | 0028.png | vial | aviae, vial
2 | 0029.png | donize | 4meidprroea, donize, donizee, donizer, iidonizet, ionizet, jonizet
